Date,Open_Eth,High_Eth,Low_Eth,Close_Eth,Adj.Close_Eth,Volume_Eth,Open_sp,High_sp,Low_sp,Close_sp,Adj.Close_sp,Volume_sp
2019-07-01,157.809494,158.450424,151.150726,151.699219,151.699219,2712108388,2971.41,2977.93,2952.22,2964.33,2964.33,3513270000.0
2019-08-01,151.967545,153.625778,148.66954,150.359634,150.359634,2459808140,2980.32,3013.59,2945.23,2953.56,2953.56,4762300000.0
2019-10-01,150.843506,152.14827,126.529373,128.625183,128.625183,3397734456,2983.69,2992.53,2938.7,2940.25,2940.25,3558040000.0
2019-11-01,127.813965,130.165939,125.244942,127.548325,127.548325,2667585234,3050.72,3066.95,3050.72,3066.91,3066.91,3930200000.0
2019-01-14,116.979095,130.856735,116.96756,129.068726,129.068726,2798085735,2580.31,2589.32,2570.41,2582.61,2582.61,3664450000.0
2019-01-15,129.172684,130.743561,120.311523,122.032715,122.032715,2735449164,2585.1,2613.08,2585.1,2610.3,2610.3,3572330000.0
2019-01-16,121.809242,127.118248,121.441414,123.547066,123.547066,2746469340,2614.75,2625.76,2612.68,2616.1,2616.1,3863770000.0
2019-01-17,123.57354,124.270721,120.817032,123.74192,123.74192,2594091285,2609.28,2645.06,2606.36,2635.96,2635.96,3772270000.0
2019-01-18,123.654655,123.84169,120.241898,121.010262,121.010262,2305389800,2651.27,2675.47,2647.58,2670.71,2670.71,3986730000.0
2019-01-22,117.110756,119.664345,114.676682,118.747551,118.747551,2552507405,2657.88,2657.88,2617.27,2632.9,2632.9,3908030000.0
2019-01-23,118.713814,119.422798,116.376648,117.452606,117.452606,2556952198,2643.48,2653.19,2612.86,2638.7,2638.7,3335610000.0
2019-01-24,117.462784,118.032104,116.006798,117.362885,117.362885,2520843420,2638.84,2647.2,2627.01,2642.33,2642.33,3433250000.0
2019-01-25,117.594955,117.802994,115.830154,116.378342,116.378342,2606881898,2657.44,2672.38,2657.33,2664.76,2664.76,3814080000.0
2019-01-28,113.285233,113.688232,103.336464,106.589973,106.589973,3366895505,2644.97,2644.97,2624.06,2643.85,2643.85,3612810000.0
2019-01-29,106.721954,107.165787,103.999229,105.598213,105.598213,2900418606,2644.89,2650.93,2631.05,2640.0,2640.0,3504200000.0
2019-01-30,105.407204,109.45298,104.843796,108.907539,108.907539,2874370355,2653.62,2690.44,2648.34,2681.05,2681.05,3867810000.0
2019-01-31,108.900772,110.458359,106.525352,107.061012,107.061012,2828796031,2685.49,2708.95,2678.65,2704.1,2704.1,4917650000.0
2019-01-02,107.147682,108.63871,105.046501,107.609787,107.609787,2541271519,2476.96,2519.49,2467.47,2510.03,2510.03,3733160000.0
2019-04-02,107.625824,108.701035,107.067421,107.821602,107.821602,2491888675,2868.24,2872.9,2858.75,2867.24,2867.24,3246900000.0
2019-05-02,107.628166,108.134789,106.909897,107.44352,107.44352,2515863999,2922.16,2931.68,2900.5,2917.52,2917.52,3778890000.0
2019-07-02,104.835777,106.058876,104.409134,104.535301,104.535301,2326764622,2964.66,2973.21,2955.92,2973.01,2973.01,3206840000.0
2019-08-02,104.64505,119.805817,104.194435,119.267746,119.267746,3656841347,2943.9,2945.5,2914.11,2932.05,2932.05,3874660000.0
2019-10-02,119.408966,124.853622,117.105774,124.806488,124.806488,3148766590,2924.78,2924.78,2874.93,2887.61,2887.61,3912520000.0
2019-12-02,121.178574,123.4683,119.600021,122.572289,122.572289,3149576429,3143.85,3144.31,3110.78,3113.87,3113.87,3268740000.0
2019-02-13,122.544289,125.550697,121.612495,122.553604,122.553604,3386585799,2750.3,2761.85,2748.63,2753.03,2753.03,3670770000.0
2019-02-14,122.416985,124.451988,121.334892,121.390205,121.390205,3331701628,2743.5,2757.9,2731.23,2745.73,2745.73,3836700000.0
2019-02-15,121.453697,123.660126,121.371918,122.100388,122.100388,3021741615,2760.24,2775.66,2760.24,2775.6,2775.6,3641370000.0
2019-02-19,146.398819,149.929977,145.128464,145.346191,145.346191,5310842625,2769.28,2787.33,2767.29,2779.76,2779.76,3533710000.0
2019-02-20,145.172729,149.554337,142.502121,149.554337,149.554337,4500094965,2779.05,2789.88,2774.06,2784.7,2784.7,3835450000.0
2019-02-21,149.352325,149.352325,144.563812,146.130844,146.130844,3995766856,2780.24,2781.58,2764.55,2774.88,2774.88,3559710000.0
2019-02-22,146.073257,149.268616,145.206543,149.092453,149.092453,3731099284,2780.67,2794.2,2779.11,2792.67,2792.67,3427810000.0
2019-02-25,135.499725,142.525574,135.483841,139.822861,139.822861,4914392068,2804.35,2813.49,2794.99,2796.11,2796.11,3804380000.0
2019-02-26,139.646088,139.97644,136.579605,138.089676,138.089676,3791292839,2792.36,2803.12,2789.47,2793.9,2793.9,3645680000.0
2019-02-27,138.029572,141.336227,131.602921,136.125961,136.125961,4469776860,2787.5,2795.76,2775.13,2792.38,2792.38,3767130000.0
2019-02-28,136.283081,138.847137,135.657593,136.746246,136.746246,4535438953,2788.11,2793.73,2782.51,2784.49,2784.49,4396930000.0
2019-01-03,136.836243,138.99527,136.434784,136.443619,136.443619,3756124824,2491.92,2493.14,2443.96,2447.89,2447.89,3822860000.0
2019-04-03,132.157883,132.729141,125.402702,127.774124,127.774124,4008171341,2876.09,2885.25,2865.17,2873.4,2873.4,3550240000.0
2019-05-03,127.792953,138.22998,126.735298,137.822388,137.822388,4764849990,2929.21,2947.85,2929.21,2945.64,2945.64,3338120000.0
2019-06-03,137.95874,139.968826,136.14592,138.789352,138.789352,4589054219,2751.53,2763.07,2728.81,2744.45,2744.45,3966700000.0
2019-07-03,138.942383,140.85788,137.273132,138.0345,138.0345,4339206292,2978.08,2995.84,2977.96,2995.82,2995.82,1963720000.0
2019-09-03,134.887558,139.119415,134.677124,137.965332,137.965332,5011918715,2909.01,2914.39,2891.85,2906.27,2906.27,3426790000.0
2019-10-03,138.180496,138.270309,135.685684,136.758682,136.758682,4578438499,2885.38,2911.13,2855.94,2910.63,2910.63,3503640000.0
2019-12-03,134.012848,135.273468,130.944153,134.442886,134.442886,4709988000,3087.41,3094.97,3070.33,3093.2,3093.2,3653390000.0
2019-03-13,134.611771,134.611771,132.719727,133.263077,133.263077,4265162099,2799.78,2821.24,2799.78,2810.92,2810.92,3766150000.0
2019-03-14,133.203903,135.180847,132.750076,133.711594,133.711594,4476532147,2810.38,2815.0,2803.46,2808.48,2808.48,3469730000.0
2019-03-15,133.567154,138.395142,133.567154,137.691788,137.691788,4506861856,2810.79,2830.73,2810.79,2822.48,2822.48,5962730000.0
2019-03-18,140.104858,142.267212,138.841553,139.374603,139.374603,4551739879,2822.61,2835.41,2821.99,2832.94,2832.94,3552190000.0
2019-03-19,139.254013,140.989059,139.143021,140.519196,140.519196,4251488129,2840.76,2852.42,2823.27,2832.57,2832.57,3620220000.0
2019-03-20,140.484711,140.945572,138.307037,140.686356,140.686356,4664134462,2831.34,2843.54,2812.43,2824.23,2824.23,3771200000.0
2019-03-21,140.478485,141.003235,135.855423,136.636063,136.636063,5087247796,2819.72,2860.31,2817.38,2854.88,2854.88,3546800000.0
2019-03-22,136.562256,138.794296,136.228607,137.181442,137.181442,4490899266,2844.52,2846.16,2800.47,2800.71,2800.71,4237200000.0
2019-03-25,137.08136,137.695343,133.490158,135.031021,135.031021,4480516753,2796.01,2809.79,2785.02,2798.36,2798.36,3376580000.0
2019-03-26,135.054321,135.460358,133.757339,135.460358,135.460358,4499271679,2812.66,2829.87,2803.99,2818.46,2818.46,3266050000.0
2019-03-27,135.454361,141.07547,135.34166,140.988159,140.988159,5228240093,2819.72,2825.56,2787.72,2805.37,2805.37,3372930000.0
2019-03-28,141.005844,141.007935,138.425171,139.416473,139.416473,4163212475,2809.4,2819.71,2798.77,2815.44,2815.44,3158170000.0
2019-03-29,139.343201,142.54924,138.045105,142.497421,142.497421,5125602702,2828.27,2836.03,2819.23,2834.4,2834.4,3740700000.0
